Station Name,CALGARY INT'L A,,,,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.11,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.02,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,1084.1,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031093,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2010-01-01,2010,1,1,,-10,,-22.8,,-16.4,,34.4,,0,,0,,0,T,0,T,14,,17,,32,
2010-01-02,2010,1,2,,-6.9,,-15.1,,-11,,29,,0,,0,,0,T,0,T,12,,36,E,32,E
2010-01-03,2010,1,3,,-5.5,,-16.3,,-10.9,,28.9,,0,,0,,0,T,0,T,12,,35,E,46,E
2010-01-04,2010,1,4,,-5.9,,-13.4,,-9.7,,27.7,,0,,0,,0,T,0,T,12,,,,<31,
2010-01-05,2010,1,5,,-12.9,,-17.1,,-15,,33,,0,,0,,7.4,,4.6,,12,,,,<31,
2010-01-06,2010,1,6,,-12.3,,-25.6,,-19,,37,,0,,0,,0,T,0,T,18,,,,<31,
2010-01-07,2010,1,7,,-7.6,,-26,,-16.8,,34.8,,0,,0,,0,T,0,T,17,,,,<31,
