Station Name,CALGARY INTL A,,,,,,,,,,,,,,,,,,,,,,,,,
Province,ALBERTA,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,51.12,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-114.01,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,1099.1,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,3031092,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,71877,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,YYC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Accumulated,,,,,,,,,,,,,,,,,,,,,,,,,
C,"Precipitation occurred, amount uncertain",,,,,,,,,,,,,,,,,,,,,,,,,
E,Estimated,,,,,,,,,,,,,,,,,,,,,,,,,
F,Accumulated and estimated,,,,,,,,,,,,,,,,,,,,,,,,,
L,Precipitation may or may not have occurred,,,,,,,,,,,,,,,,,,,,,,,,,
M,Missing,,,,,,,,,,,,,,,,,,,,,,,,,
N,Temperature missing but known to be > 0,,,,,,,,,,,,,,,,,,,,,,,,,
S,More than one occurrence,,,,,,,,,,,,,,,,,,,,,,,,,
T,Trace,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Temperature missing but known to be < 0,,,,,,,,,,,,,,,,,,,,,,,,,
[empty],No data available,,,,,,,,,,,,,,,,,,,,,,,,,
^,The value displayed is based on incomplete data,,,,,,,,,,,,,,,,,,,,,,,,,
†,Data that is not subject to review by the National Climate Archives,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2015-01-01,2015,1,1,,1.1,,-6.1,,-2.5,,20.5,,0,,0,,0,T,0,T,3,,,,<31,
2015-01-02,2015,1,2,,-3.4,,-18.2,,-10.8,,28.8,,0,,0,,5,,4.2,,3,,1,,52,
2015-01-03,2015,1,3,,-18.1,,-21.1,,-19.6,,37.6,,0,,0,,1.6,,0.6,,7,,,,<31,
2015-01-04,2015,1,4,,-18.4,,-25.3,,-21.9,,39.9,,0,,0,,2,,1.8,,9,,17,,35,
2015-01-05,2015,1,5,,-13.2,,-20.1,,-16.7,,34.7,,0,,0,,0,T,0,T,11,,35,,44,
2015-01-06,2015,1,6,,-13.5,,-15.6,,-14.6,,32.6,,0,,0.6,,11.2,,11.4,,18,,,,<31,
2015-01-07,2015,1,7,,8.1,,-15.2,,-3.6,,21.6,,0,,0,,0.2,,0.2,,22,,36,,52,
2015-01-08,2015,1,8,,-2.2,,-19.4,,-10.8,,28.8,,0,,0,,0.8,,0.8,,17,,35,,67,
2015-01-09,2015,1,9,,-1.8,,-23.8,,-12.8,,30.8,,0,,0,,0,,0,,17,,,,<31,
2015-01-10,2015,1,10,,-1.5,,-12.2,,-6.9,,24.9,,0,,0,,5.8,,5.8,,15,,,,<31,
2015-01-11,2015,1,11,,-6.5,,-19.2,,-12.9,,30.9,,0,,0,,1.6,,1.6,,22,,,,<31,
2015-01-12,2015,1,12,,-2.4,,-20.8,,-11.6,,29.6,,0,,0,,0,T,0,T,22,,,,<31,
2015-01-13,2015,1,13,,3.8,,-9.9,,-3.1,,21.1,,0,,0,,0,,0,,22,,,,<31,
2015-01-14,2015,1,14,,9.8,,-0.5,,4.7,,13.3,,0,,0,,0,,0,,21,,29,,52,
